0, 5_o_Clock_Shadow, 22516, 180083, 0.1250312355969192
1, Arched_Eyebrows, 54090, 148509, 0.3642203502818011
2, Attractive, 103833, 98766, 1.05130308000729
3, Bags_Under_Eyes, 41446, 161153, 0.25718416659944277
4, Bald, 4547, 198052, 0.022958616928887364
5, Bangs, 30709, 171890, 0.17865495374949095
6, Big_Lips, 48785, 153814, 0.3171687882767498
7, Big_Nose, 47516, 155083, 0.3063907713933829
8, Black_Hair, 48472, 154127, 0.314493891401247
9, Blond_Hair, 29983, 172616, 0.17369768735227326
10, Blurry, 10312, 192287, 0.053628170391134086
11, Brown_Hair, 41572, 161027, 0.25816788488886955
12, Bushy_Eyebrows, 28803, 173796, 0.16572878547262307
13, Chubby, 11663, 190936, 0.06108329492604852
14, Double_Chin, 9459, 193140, 0.048974836905871386
15, Eyeglasses, 13193, 189406, 0.06965460439479214
16, Goatee, 12716, 189883, 0.06696755370412306
17, Gray_Hair, 8499, 194100, 0.043786707882534776
18, Heavy_Makeup, 78390, 124209, 0.6311136874139555
19, High_Cheekbones, 92189, 110410, 0.8349696585454216
20, Male, 84434, 118165, 0.714543223458723
21, Mouth_Slightly_Open, 97942, 104657, 0.935838023256925
22, Mustache, 8417, 194182, 0.04334593319669176
23, Narrow_Eyes, 23329, 179270, 0.13013331845819157
24, No_Beard, 169158, 33441, 5.0584013635955865
25, Oval_Face, 57567, 145032, 0.3969261955982128
26, Pale_Skin, 8701, 193898, 0.04487410906765413
27, Pointy_Nose, 56210, 146389, 0.3839769381579217
28, Receding_Hairline, 16163, 186436, 0.08669462979252934
29, Rosy_Cheeks, 13315, 189284, 0.07034403330445257
30, Sideburns, 11449, 191150, 0.059895370128171595
31, Smiling, 97669, 104930, 0.9308014867054226
32, Straight_Hair, 42222, 160377, 0.2632671767148656
33, Wavy_Hair, 64744, 137855, 0.4696528961590076
34, Wearing_Earrings, 38276, 164323, 0.23293148250701362
35, Wearing_Hat, 9818, 192781, 0.050928255377864
36, Wearing_Lipstick, 95715, 106884, 0.895503536544291
37, Wearing_Necklace, 24913, 177686, 0.1402080073838119
38, Wearing_Necktie, 14732, 187867, 0.07841717811004593
39, Young, 156734, 45865, 3.4172898724517604
